500	2
0	0.142	0.559	1	0.166	12000.000	28.500	7200.000
1	0.658	0.479	1	0.712	12000.000	18.031	7200.000
2	0.260	0.464	1	0.392	12000.000	31.031	7200.000
3	0.470	0.026	2	0.924	12000.000	31.996	7200.000
4	0.049	0.576	1	0.576	12000.000	18.387	7200.000
5	0.080	0.908	1	0.117	12000.000	24.272	7200.000
6	0.304	0.747	1	0.536	12000.000	21.766	7200.000
7	0.685	0.848	1	0.045	12000.000	26.431	7200.000
8	0.930	0.858	1	0.349	12000.000	20.158	7200.000
9	0.020	0.184	1	0.759	12000.000	23.417	7200.000
10	0.299	0.571	1	0.222	12000.000	30.855	7200.000
11	0.258	0.156	1	0.453	12000.000	20.760	7200.000
12	0.013	0.975	1	0.952	12000.000	26.522	7200.000
13	0.230	0.869	1	0.320	12000.000	24.665	7200.000
14	0.404	0.118	2	0.362	12000.000	27.070	7200.000
15	0.182	0.493	2	0.136	12000.000	22.707	7200.000
16	0.988	0.014	1	0.753	12000.000	30.095	7200.000
17	0.303	0.827	1	0.019	12000.000	27.424	7200.000
18	0.429	0.822	2	0.313	12000.000	29.878	7200.000
19	0.580	0.340	1	0.505	12000.000	23.965	7200.000
20	0.594	0.099	1	0.405	12000.000	24.539	7200.000
21	0.992	0.796	1	0.274	12000.000	21.337	7200.000
22	0.575	0.429	2	0.449	12000.000	23.584	7200.000
23	0.250	0.083	1	0.089	12000.000	27.722	7200.000
24	0.361	0.593	1	0.342	12000.000	21.577	7200.000
25	0.999	0.775	1	0.045	12000.000	20.385	7200.000
26	0.278	0.064	1	0.753	12000.000	31.856	7200.000
27	0.602	0.167	1	0.682	12000.000	18.716	7200.000
28	0.562	0.978	1	0.752	12000.000	21.124	7200.000
29	0.708	0.135	1	0.349	12000.000	23.990	7200.000
30	0.047	0.012	1	0.045	12000.000	30.722	7200.000
31	0.191	0.367	1	0.572	12000.000	28.804	7200.000
32	0.582	0.180	2	0.924	12000.000	30.593	7200.000
33	0.715	0.318	1	0.975	12000.000	31.095	7200.000
34	0.228	0.097	2	0.635	12000.000	26.292	7200.000
35	0.806	0.361	1	0.631	12000.000	22.371	7200.000
36	0.146	0.089	1	0.545	12000.000	23.613	7200.000
37	0.863	0.829	1	0.979	12000.000	29.788	7200.000
38	0.602	0.575	2	0.001	12000.000	21.343	7200.000
39	0.661	0.852	1	0.471	12000.000	23.851	7200.000
40	0.715	0.511	1	0.740	12000.000	18.150	7200.000
41	0.881	0.864	1	0.813	12000.000	21.190	7200.000
42	0.817	0.250	1	0.158	12000.000	30.047	7200.000
43	0.174	0.525	2	0.458	12000.000	29.335	7200.000
44	0.274	0.149	1	0.285	12000.000	31.220	7200.000
45	0.113	0.239	2	0.725	12000.000	30.053	7200.000
46	0.348	0.594	1	0.053	12000.000	21.715	7200.000
47	0.404	0.169	2	0.120	12000.000	27.866	7200.000
48	0.557	0.878	1	0.845	12000.000	24.892	7200.000
49	0.352	0.012	1	0.026	12000.000	30.856	7200.000
50	0.564	0.632	1	0.596	12000.000	30.581	7200.000
51	0.697	0.973	1	0.380	12000.000	27.835	7200.000
52	0.595	0.292	1	0.128	12000.000	19.038	7200.000
53	0.337	0.522	2	0.025	12000.000	31.532	7200.000
54	0.080	0.626	1	0.543	12000.000	28.620	7200.000
55	0.212	0.732	1	0.834	12000.000	32.006	7200.000
56	0.755	0.037	1	0.205	12000.000	27.009	7200.000
57	0.777	0.202	1	0.338	12000.000	30.778	7200.000
58	0.478	0.683	2	0.856	12000.000	26.881	7200.000
59	0.914	0.693	2	0.920	12000.000	21.178	7200.000
60	0.907	0.135	2	0.526	12000.000	24.536	7200.000
61	0.444	0.944	1	0.845	12000.000	26.996	7200.000
62	0.012	0.224	1	0.221	12000.000	19.022	7200.000
63	0.686	0.799	1	0.898	12000.000	30.223	7200.000
64	0.929	0.257	2	0.608	12000.000	25.798	7200.000
